business_activity_description,Cost,Vendor,Comment,2017 NAICS Title
Activities related to beef cattle ranching and farming.,31373.75,FreshFields,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to all other miscellaneous crop farming.,6774.28,AgriCorp,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to chicken egg production.,5686.36,FreshFields,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to broilers and other meat type chicken production.,14587.34,EcoFarms,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to shellfish farming.,6761.27,EcoFarms,Procured for shellfish farming operations.,Shellfish Farming
Activities related to fur-bearing animal and rabbit production.,7039.62,AgriCorp,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to hog and pig farming.,2707.68,EcoFarms,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to floriculture production.,41225.13,BioHarvest,Procured for floriculture production operations.,Floriculture Production
Activities related to sugarcane farming.,48196.22,BioHarvest,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to fur-bearing animal and rabbit production.,28893.86,EcoFarms,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to citrus (except orange) groves.,33285.63,BioHarvest,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to shellfish farming.,26965.17,BioHarvest,Procured for shellfish farming operations.,Shellfish Farming
Activities related to other noncitrus fruit farming.,20124.54,BioHarvest,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to other poultry production.,20625.54,BioHarvest,Procured for other poultry production operations.,Other Poultry Production
Activities related to sheep farming.,13094.76,AgriCorp,Procured for sheep farming operations.,Sheep Farming
Activities related to corn farming.,29794.35,BioHarvest,Procured for corn farming operations.,Corn Farming
Activiteis related to hogn ad pig farming.,34574.12,AgriCorp,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to tobacco farming.,11964.99,FreshFields,Procured for tobacco farming operations.,Tobacco Farming
Activities related to potato farming.,4733.54,EcoFarms,Procured for potato farming operations.,Potato Farming
Activities related to corn farming.,13184.82,FreshFields,Procured for corn farming operations.,Corn Farming
Activities related to dairy cattle and milk production.,27856.02,CropGen,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to apiculture.,36934.47,EcoFarms,Procured for apiculture operations.,Apiculture
Activities related to dry pea and bean farming.,20092.62,FreshFields,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to all other animal production.,25704.42,BioHarvest,Procured for all other animal production operations.,All Other Animal Production
Activities related to finfish farming and fish hatcheries.,17856.83,FreshFields,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to apple orchards.,29619.22,BioHarvest,Procured for apple orchards operations.,Apple Orchards
Activities related to fruit and tree nut combination farming.,43326.1,FreshFields,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to dry pea and bean farming.,21025.89,CropGen,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities relatd to other ofod crops grown under cover.,18502.78,FreshFields,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to other food crops grown under cover.,20116.35,CropGen,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to other aquaculture.,26323.87,BioHarvest,Procured for other aquaculture operations.,Other Aquaculture
Activities related to wheat farming.,9023.8,CropGen,Procured for wheat farming operations.,Wheat Farming
Irrelevant text t ia  hfil vmere.gtooirsiat dAeentrlac ntialgr,42936.07,AgriCorp,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to dry pea and bean farming.,34878.09,EcoFarms,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to rice farming.,48609.26,CropGen,Procured for rice farming operations.,Rice Farming
Activities related to mushroom production.,31675.47,FreshFields,Procured for mushroom production operations.,Mushroom Production
Irrelevant text rheA  feaigtoeecoa velanmrirl silnotlti peualsrd.ctso mi tc,14945.61,FreshFields,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
i tpsir le  rttfgivtomtte.aoAiadnocea,36250.25,EcoFarms,Procured for potato farming operations.,Potato Farming
Activities related to chicken egg production.,47587.03,EcoFarms,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to fruit and tree nut combination farming.,39631.53,EcoFarms,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to other noncitrus fruit farming.,48828.44,EcoFarms,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to apple orchards.,42603.35,EcoFarms,Procured for apple orchards operations.,Apple Orchards
Activities related to goat farming.,36378.31,AgriCorp,Procured for goat farming operations.,Goat Farming
Activities related to hay farming.,8614.76,AgriCorp,Procured for hay farming operations.,Hay Farming
Activities related to fruit and tree nut combination farming.,14880.34,BioHarvest,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to grape vineyards.,40844.09,AgriCorp,Procured for grape vineyards operations.,Grape Vineyards
Activities related to fruit and tree nut combination farming.,13366.03,FreshFields,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to oilseed (except soybean) farming.,48020.79,BioHarvest,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities relatef to goat farmnig.,23044.91,EcoFarms,Procured for goat farming operations.,Goat Farming
Activities related to sheep farming.,32690.37,AgriCorp,Procured for sheep farming operations.,Sheep Farming
umt t. lsoAglivaielecrnt erstcl adtafeeo orpi  ecsonrhalimi,26658.58,EcoFarms,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Actviities related to frui and tree nut combinatin farming.,17215.24,BioHarvest,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
 gigaoA btsmei s tnaiv tleefariurdet.cetr,22526.85,CropGen,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to turkey production.,35826.42,FreshFields,Procured for turkey production operations.,Turkey Production
Activities related to rice farming.,21285.88,CropGen,Procured for rice farming operations.,Rice Farming
Activities related to apiculture.,10736.21,AgriCorp,Procured for apiculture operations.,Apiculture
Activities related to turkey production.,32721.2,CropGen,Procured for turkey production operations.,Turkey Production
Activities related to citrus (except orange) groves.,42690.65,EcoFarms,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to all other grain farming.,37284.22,BioHarvest,Procured for all other grain farming operations.,All Other Grain Farming
Activities relatef to ice farming.,5079.67,EcoFarms,Procured for rice farming operations.,Rice Farming
Activities related to floriculture production.,45790.55,AgriCorp,Procured for floriculture production operations.,Floriculture Production
Activities related to grape vineyards.,9604.86,EcoFarms,Procured for grape vineyards operations.,Grape Vineyards
Activities related ot dairy catlte and milk productipn.,47768.18,EcoFarms,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to grape vineyards.,19499.64,CropGen,Procured for grape vineyards operations.,Grape Vineyards
Activities related to dual-purpose cattle ranching and farming.,40019.16,BioHarvest,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to oilseed (except soybean) farming.,8764.16,AgriCorp,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to beef cattle ranching and farming.,3170.39,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
